rank,name,year,rating,age_rating,run_time
1,The Shawshank Redemption,1994,9.3,R,142
2,The Godfather,1972,9.2,R,175
3,The Dark Knight,2008,9,PG-13,152
4,The Godfather Part II,1974,9,R,202
5,12 Angry Men,1957,9,G,96
6,Schindler's List,1993,9,R,195
7,The Lord of the Rings: The Return of the King,2003,9,PG-13,201
8,Pulp Fiction,1994,8.9,R,154
9,The Lord of the Rings: The Fellowship of the Ring,2001,8.8,PG-13,178
10,"The Good, the Bad and the Ugly",1966,8.8,G,178
11,Forrest Gump,1994,8.8,PG-13,142
12,Fight Club,1999,8.8,R,139
13,The Lord of the Rings: The Two Towers,2002,8.8,PG-13,179
14,Inception,2010,8.8,PG-13,148
15,Star Wars: Episode V - The Empire Strikes Back,1980,8.7,PG,124
16,The Matrix,1999,8.7,R,136
17,Goodfellas,1990,8.7,R,145
18,One Flew Over the Cuckoo's Nest,1975,8.7,R,133
19,Se7en,1995,8.6,R,127
20,Seven Samurai,1954,8.6,G,207
21,It's a Wonderful Life,1946,8.6,PG,130
22,The Silence of the Lambs,1991,8.6,R,118
23,City of God,2002,8.6,R,130
24,Saving Private Ryan,1998,8.6,R,169
25,Interstellar,2014,8.6,PG-13,169
26,Life Is Beautiful,1997,8.6,PG-13,116
27,The Green Mile,1999,8.6,R,189
28,Star Wars: Episode IV - A New Hope,1977,8.6,PG,121
29,Terminator 2: Judgment Day,1991,8.6,R,137
30,Back to the Future,1985,8.5,PG,116
31,Spirited Away,2001,8.6,PG,125
32,The Pianist,2002,8.5,R,150
33,Psycho,1960,8.5,R,109
34,Parasite,2019,8.5,R,132
35,Léon: The Professional,1994,8.5,R,110
36,The Lion King,1994,8.5,G,88
37,Gladiator,2000,8.5,R,155
38,American History X,1998,8.5,R,119
39,The Departed,2006,8.5,R,151
40,The Usual Suspects,1995,8.5,R,106
41,The Prestige,2006,8.5,PG-13,130
42,Whiplash,2014,8.5,R,106
43,Casablanca,1942,8.5,PG,102
44,Grave of the Fireflies,1988,8.5,G,89
45,Harakiri,1962,8.6,G,133
46,The Intouchables,2011,8.5,R,112
47,Modern Times,1936,8.5,G,87
48,Once Upon a Time in the West,1968,8.5,PG-13,165
49,Rear Window,1954,8.5,PG,112
50,Cinema Paradiso,1988,8.5,PG,155
51,Alien,1979,8.5,R,117
52,City Lights,1931,8.5,G,87
53,Apocalypse Now,1979,8.5,R,147
54,Memento,2000,8.4,R,113
55,Django Unchained,2012,8.4,R,165
56,Indiana Jones and the Raiders of the Lost Ark,1981,8.4,PG,115
57,WALL·E,2008,8.4,G,98
58,The Lives of Others,2006,8.4,R,137
59,Sunset Blvd.,1950,8.4,G,110
60,Paths of Glory,1957,8.4,G,88
61,The Shining,1980,8.4,R,146
62,The Great Dictator,1940,8.4,G,125
63,Avengers: Infinity War,2018,8.4,PG-13,149
64,Witness for the Prosecution,1957,8.4,G,116
65,Aliens,1986,8.4,R,137
66,Spider-Man: Into the Spider-Verse,2018,8.4,PG,117
67,American Beauty,1999,8.4,R,122
68,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,PG,95
69,The Dark Knight Rises,2012,8.4,PG-13,164
70,Oldboy,2003,8.4,R,120
71,Inglourious Basterds,2009,8.3,R,153
72,Amadeus,1984,8.4,PG,160
73,Coco,2017,8.4,PG,105
74,Toy Story,1995,8.3,G,81
75,Joker,2019,8.4,R,122
76,Braveheart,1995,8.4,R,178
77,The Boat,1981,8.4,R,210
78,Avengers: Endgame,2019,8.4,PG-13,181
79,Princess Mononoke,1997,8.4,PG-13,134
80,Once Upon a Time in America,1984,8.3,R,229
81,Good Will Hunting,1997,8.3,R,126
82,Your Name.,2016,8.4,TV-PG,106
83,3 Idiots,2009,8.4,PG-13,170
84,Singin' in the Rain,1952,8.3,G,103
